squad,metric,mean,median,std
Everton,per90_gls,0.099,0.035,0.13
Everton,per90_ast,0.082,0.05,0.111
Everton,per90_g_a,0.181,0.1,0.181
Everton,per90_g_minus_pk,0.095,0.035,0.125
Everton,per90_g_a_minus_pk,0.178,0.1,0.179
Fulham,minutes,1632.348,1772.0,1034.202
Fulham,min_90s,18.135,19.7,11.494
Fulham,gls,2.304,0.0,3.419
Fulham,ast,1.913,1.0,2.569
Fulham,g_plus_a,4.217,2.0,4.773
Fulham,g_minus_pk,2.174,0.0,3.088
Fulham,pk,0.13,0.0,0.612
Fulham,pkatt,0.174,0.0,0.636
Fulham,crdy,3.478,3.0,3.02
Fulham,crdr,0.087,0.0,0.282
Fulham,per90_gls,0.151,0.0,0.218
Fulham,per90_ast,0.094,0.08,0.107
Fulham,per90_g_a,0.246,0.1,0.274
Fulham,per90_g_minus_pk,0.147,0.0,0.213
Fulham,per90_g_a_minus_pk,0.241,0.1,0.27
Ipswich Town,minutes,1245.767,1081.0,853.495
Ipswich Town,min_90s,13.84,12.0,9.489
Ipswich Town,gls,1.167,0.0,2.282
Ipswich Town,ast,0.867,0.5,1.056
Ipswich Town,g_plus_a,2.033,1.5,2.714
Ipswich Town,g_minus_pk,1.1,0.0,1.972
Ipswich Town,pk,0.067,0.0,0.359
Ipswich Town,pkatt,0.067,0.0,0.359
Ipswich Town,crdy,3.1,2.0,2.797
Ipswich Town,crdr,0.167,0.0,0.373
Ipswich Town,per90_gls,0.086,0.0,0.136
Ipswich Town,per90_ast,0.063,0.015,0.089
Ipswich Town,per90_g_a,0.148,0.095,0.166
Ipswich Town,per90_g_minus_pk,0.083,0.0,0.13
Ipswich Town,per90_g_a_minus_pk,0.145,0.095,0.162
Leicester City,minutes,1391.222,1391.0,874.256
Leicester City,min_90s,15.456,15.5,9.718
Leicester City,gls,1.222,0.0,2.114
Leicester City,ast,0.926,0.0,1.359
Leicester City,g_plus_a,2.148,1.0,2.953
Leicester City,g_minus_pk,1.148,0.0,1.919
Leicester City,pk,0.074,0.0,0.262
Leicester City,pkatt,0.111,0.0,0.416
Leicester City,crdy,3.222,3.0,2.657
Leicester City,crdr,0.0,0.0,0.0
Leicester City,per90_gls,0.064,0.0,0.095
Leicester City,per90_ast,0.056,0.0,0.083
Leicester City,per90_g_a,0.119,0.05,0.137
