statistic,best_team,total_value
minutes,Nottingham Forest,37569.0
gls,Liverpool,85.0
ast,Liverpool,65.0
g_plus_a,Liverpool,150.0
mp,Brighton,594.0
starts,Arsenal,418.0
per90_gls,Aston Villa,4.5600000000000005
per90_ast,Liverpool,3.12
per90_g_a,Manchester City,6.9
